Station Name,Street Address,City,State,ZIP,Latitude,Longitude,EV Network,EV Connector Types
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,38.544538,-121.749713,Non-Networked,"J1772,NEMA520"
University Covenant Church,315 Mace Blvd,Davis,CA,95618,38.55755,-121.6947,Non-Networked,J1772
Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,38.569412,-121.721373,Non-Networked,J1772
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,33.84788,-118.13889,Non-Networked,J1772
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,37.94495,-122.5096,Non-Networked,J1772
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,37.7136,-122.2087,Non-Networked,J1772
Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,47.443377,-122.296229,Non-Networked,J1772
City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,61820,40.119161,-88.244185,Non-Networked,J1772
Discovery Center of Idaho,131 W Myrtle St,Boise,ID,83702,43.608009,-116.197968,Non-Networked,J1772
City of Keizer - City Hall,930 Chemawa Rd NE,Salem,OR,97303,44.99574,-123.019758,Non-Networked,NEMA520
Nike - LA Garage,1 Bowerman Dr,Beaverton,OR,97006,45.508795,-122.8249,Non-Networked,J1772
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,38.2482,-122.0678,Non-Networked,J1772
LINCOLN CITY TAFT DUAL 1,1226 SW 50th St,Lincoln City,OR,97367,44.928439,-124.015824,ChargePoint Network,J1772
New York Institute of Technology - Old Westbury Solar Carport Station,Valentines Ln & Northern Blvd,Old Westbury,NY,11568,40.814019,-73.608978,Non-Networked,NEMA520
MGE WILLY ST E,1221 Williamson St,Madison,WI,53703,43.083979,-89.363091,ChargePoint Network,J1772
LBCC LBCC DUAL 2,Ellingson Rd SW,Albany,OR,97321,44.586123,-123.115389,ChargePoint Network,J1772
OEG,3200 NW Yeon Ave,Portland,OR,97210,45.545898,-122.707102,Non-Networked,J1772
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,35.249929,-120.689683,Non-Networked,J1772
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,35.25982,-120.676,Non-Networked,J1772
New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,42.702424,-73.857693,Non-Networked,"J1772,NEMA520"
Saratoga Technology & Energy Park,10 Hermes Rd,Malta,NY,12020,42.969823,-73.773021,Non-Networked,NEMA520
Avista Corp,1411 E Mission Ave,Spokane,WA,99252,47.673347,-117.388933,Non-Networked,"J1772,NEMA520"
Steam Plant Parking,130 S Post St,Spokane,WA,99201,47.65579218,-117.4236637,Non-Networked,J1772
Kum & Go #4110,2110 Guthrie Ave,Des Moines,IA,50317,41.615759,-93.57875,Non-Networked,J1772
Kum & Go #570,5800 Northglenn Dr,Johnston,IA,50131,41.682385,-93.698315,Non-Networked,J1772
Lane Community College,4000 E 30th Ave,Eugene,OR,97405,44.009797,-123.033213,Non-Networked,"J1772,NEMA520"
BROOKFIELD PROP 300 CLAY STAT1,300 Clay St Allen Ctr Garage,Houston,TX,77002,29.756604,-95.372854,ChargePoint Network,J1772
Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,Malta,NY,12020,42.97167,-73.774182,Non-Networked,NEMA520
City of Spartanburg - Municipal Parking Garage,100 Dunbar St,Spartanburg,SC,29306,34.950136,-81.93279,Non-Networked,J1772
City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,34.951926,-81.931714,Non-Networked,J1772
City of Union Town Hall,101 Sharpe Ave,Union,SC,29379,34.715982,-81.624616,Non-Networked,J1772
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,CT,06510,41.305794,-72.927405,Non-Networked,"J1772,TESLA"
New London Parking Authority - Water Street Public Parking Garage,160 Water St,New London,CT,06320,41.355486,-72.093784,Non-Networked,"J1772,NEMA520"
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,CT,06880,41.119291,-73.369266,Non-Networked,"J1772,NEMA520"
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,CT,06078,41.951328,-72.663078,Non-Networked,"J1772,NEMA515"
GTC HORIZON MAINLOT,4940 88th Avenue,Kenosha,WI,53144,42.592469,-87.915847,ChargePoint Network,J1772
MGE GREENWAY STAT,1611 Aspen Commons,Middleton,WI,53562,43.091229,-89.52884,ChargePoint Network,J1772
Baker Electric Building,7100 Euclid Ave,Cleveland,OH,44103,41.503373,-81.639054,Non-Networked,J1772
McDonald's,116 5th Ave,Huntington,WV,25703,38.417603,-82.456866,Non-Networked,J1772
Agilix Solutions,2023 Westport Center Dr,St. Louis,MO,63146,38.694036,-90.4218,Non-Networked,J1772
HILLSBORO OR MAIN ST 1,150 E Main St,Hillsboro,OR,97123,45.522609,-122.988535,ChargePoint Network,J1772
HILLSBORO OR ITF EV-8,253 SE 8th Ave,Hillsboro,OR,97123,45.520533,-122.978089,ChargePoint Network,J1772
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,1945 SE Water Ave,Portland,OR,97214,45.509326,-122.666392,Non-Networked,J1772
Liberty Park,520 E,Salt Lake City,UT,84119,40.74686,-111.876,Non-Networked,J1772
The Hartford Financial Services Group - Lot 4,1 Hartford Plaza,Hartford,CT,06105,41.770428,-72.687141,Non-Networked,J1772
The Hartford Financial Services Group,1 Griffin Rd N,Windsor,CT,06095,41.879631,-72.729919,Non-Networked,J1772
JCCC MTC,12345 College Blvd,Overland Park,KS,66210,38.92591,-94.72819,ChargePoint Network,J1772
City of Delray Beach - Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,26.465314,-80.07219,Non-Networked,J1772
KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,47.545324,-122.0195,ChargePoint Network,J1772
King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,47.675897,-122.091237,Non-Networked,J1772
Eversource,56 Prospect St,Hartford,CT,06106,41.765253,-72.671569,Non-Networked,J1772
SEAPORT GARAGE EAST GARAGE2 P1,1 Seaport Ln,Boston,MA,02210,42.349249,-71.041557,ChargePoint Network,J1772
City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,34.00741493349311,-81.03480060447691,Non-Networked,J1772
City of Columbia - Washington Street Garage,1100 Washington St,Columbia,SC,29201,34.003323,-81.035693,Non-Networked,J1772
City of Columbia - Arsenal Hill Garage,1812 Lincoln St,Columbia,SC,29201,34.008409,-81.041802,Non-Networked,J1772
City of Columbia - Lincoln Street Garage,820 Washington St,Columbia,SC,29201,34.002255,-81.040219,Non-Networked,J1772
Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,34.84709,-82.387269,Non-Networked,J1772
City of Greenville - Poinsett Garage,25 W McBee Ave,Greenville,SC,29601,34.849724,-82.400667,Non-Networked,J1772
City of Greenville - Spring Street Garage,316 S Spring St,Greenville,SC,29601,34.849889,-82.397797,Non-Networked,J1772
City of Greenville - Church Street Garage,320 N Church St,Greenville,SC,29601,34.852754,-82.393113,Non-Networked,J1772
City of Columbia - Park Street Garage,1007 Park St,Columbia,SC,29201,33.997786,-81.036161,Non-Networked,J1772
City of Greenville - Commons Garage,60 Beattie Pl,Greenville,SC,29601,34.852789,-82.396195,Non-Networked,J1772
Liberty Square Garage,65 Beattie Pl,Greenville,SC,29601,34.85335,-82.394826,Non-Networked,J1772
City of Greenville - Richardson Garage,66 Richardson St,Greenville,SC,29601,34.852437,-82.399901,Non-Networked,"CHADEMO,J1772,J1772COMBO"
City of Rock Hill - Municipal Garage,121 E Black St,Rock Hill,SC,29730,34.925782,-81.028444,Non-Networked,J1772
City of Rock Hill - Cherry Park Parking Lot,1466 Cherry Rd,Rock Hill,SC,29730,34.954788,-81.013242,Non-Networked,J1772
Timken Sports Complex,725 Rice Ave,Union,SC,29379,34.716556,-81.648482,Non-Networked,J1772
Lockhart Power,420 River St,Lockhart,SC,29364,34.77993955183312,-81.4573590734024,Non-Networked,J1772
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,34.019875,-118.49151,Non-Networked,J1772
Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,37.806798,-122.419488,Non-Networked,J1772
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,34.010528,-118.4898,Non-Networked,"CHADEMO,J1772"
Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,39.843886,-104.771138,Non-Networked,"CHADEMO,J1772,NEMA515"
Town of Superior - Town Hall,124 E Coal Creek Dr,Superior,CO,80027,39.953798,-105.166116,Non-Networked,J1772
Charles Hotel - Harvard Square,1 Bennett St,Cambridge,MA,02138,42.372442,-71.122882,Non-Networked,"J1772,NEMA515"
Peaches Bed & Breakfast,29 Gay Ave SE,Grand Rapids,MI,49503,42.962078,-85.659019,Non-Networked,J1772
City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,61761,40.507796,-88.982897,Non-Networked,J1772
College Avenue Parking Deck,101 W Mulberry St,Normal,IL,61761,40.511172,-88.984985,Non-Networked,J1772
State of Illinois - Governor's Mansion,401-499 E Edwards St,Springfield,IL,62703,39.79628,-89.6504,Non-Networked,J1772
Duke Energy,1000 E Main St,Plainfield,IN,46168,39.70909,-86.3894,Non-Networked,J1772
3M,3M Center Dr,St. Paul,MN,55117,44.95121,-92.9952,Non-Networked,"J1772,NEMA520"
UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Bothell,WA,98011,47.761878,-122.191915,ChargePoint Network,J1772
CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,47.679224,-122.12995,ChargePoint Network,J1772
CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,47.672359,-122.099034,ChargePoint Network,J1772
WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,47.734211,-122.147041,ChargePoint Network,J1772
MGE PINNACLE HEALTH,5973 Executive Dr,Fitchburg,WI,53719,43.011411,-89.459112,ChargePoint Network,J1772
MGE WILLY ST W,6825 University Ave,Middleton,WI,53562,43.096636,-89.500008,ChargePoint Network,J1772
City of Raleigh - Municipal Building,285 W Hargett St,Raleigh,NC,27601,35.778416,-78.64347,Non-Networked,J1772
City of Raleigh - Downtown,215 W Cabarrus St,Raleigh,NC,27601,35.77435,-78.642287,Non-Networked,J1772
Missouri University of Science and Technology - E3 Commons,903 Collegiate Blvd,Rolla,MO,65401,37.958953,-91.779289,Non-Networked,J1772
Clay Cooley Nissan,4914 S IH-35,Austin,TX,78745,30.20633,-97.75936,Non-Networked,"CHADEMO,J1772"
Eversource Energy Park,780 N Commercial St,Manchester,NH,03101,42.999265,-71.467911,Non-Networked,J1772
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,39.1458,-123.198497,Non-Networked,J1772
KEMET Corp,2835 Kemet Way,Simpsonville,SC,29681,34.749177,-82.279741,Non-Networked,J1772
Hotel Floyd,120 Wilson St,Floyd,VA,24091,36.910575,-80.31736,Non-Networked,J1772
Oak Ridge Nissan,101 S Illinois Ave,Oak Ridge,TN,37830,36.010279,-84.268049,Non-Networked,J1772
Newton Nissan South,2801 Highway 231 N,Shelbyville,TN,37160,35.558371,-86.448276,Non-Networked,J1772
McGavock Nissan - Abilene,818 E Overland Trail,Abilene,TX,79606,32.408909,-99.771463,Non-Networked,J1772
McGavock Nissan - Amarillo,4700 S Soncy Rd,Amarillo,TX,79119,35.159354,-101.938937,Non-Networked,J1772
Don Davis Nissan,1320 E Interstate 20,Arlington,TX,76018,32.676458,-97.087169,Non-Networked,J1772
Town North Nissan,9160A Research Blvd,Austin,TX,78758,30.374542,-97.731445,Non-Networked,"CHADEMO,J1772,J1772COMBO"
Baytown Nissan,5445 I-10 E,Baytown,TX,77521,29.80725299717069,-94.97383364868773,Non-Networked,J1772
